Train Loss,Valid Loss,Train Acc
0.6969277991364355,0.6827292442321777,0.6529998844411192
0.6827292442321777,0.6826698780059814,0.6566556917519129
0.6931983462723991,0.6826697587966919,0.6566228390741748
0.6826698780059814,0.6826587915420532,0.6566556917519129
0.6932429405362506,0.6826545596122742,0.6566556917519129
0.6826697587966919,0.682651937007904,0.6566556917519129
0.6931650939917731,0.6826505661010742,0.6566556917519129
0.6826587915420532,0.682649552822113,0.6566556917519129
0.6931584377062403,0.6826487183570862,0.6566556917519129
0.6826545596122742,0.6826480627059937,0.6566556917519129
0.693155282765198,0.6826475262641907,0.6566556917519129
0.682651937007904,0.6826472282409668,0.6566556917519129
0.6931533826611843,0.6826471090316772,0.6566556917519129
0.6826505661010742,0.6826466917991638,0.6566556917519129
0.6931521099617389,0.6826464533805847,0.6566556917519129
0.682649552822113,0.6826463341712952,0.6566556917519129
0.6931512033337432,0.6826460361480713,0.6566556917519129
0.6826487183570862,0.6826460361480713,0.6566556917519129
0.6931505271439781,0.682645857334137,0.6566556917519129
0.6826480627059937,0.682645857334137,0.6566556917519129
