Train Loss,Valid Loss,Train Acc
0.7305350538856329,0.7092218399047852,0.34334430862374665
0.7092218399047852,0.690468966960907,0.34334430862374665
0.7099017729153778,0.675482988357544,0.5031456832124406
0.690468966960907,0.663719654083252,0.6566556917519129
0.6932787044395713,0.6546480655670166,0.6566556917519129
0.675482988357544,0.6477761268615723,0.6566556917519129
0.6801661940955307,0.6426641345024109,0.6566556917519129
0.663719654083252,0.6389302015304565,0.6566556917519129
0.6700154219155298,0.6362521648406982,0.6566556917519129
0.6546480655670166,0.6343653202056885,0.6566556917519129
0.6623059479195393,0.6330583095550537,0.6566556917519129
0.6477761268615723,0.6321672201156616,0.6566556917519129
0.6565647212440442,0.6315681338310242,0.6566556917519129
0.6426641345024109,0.631169855594635,0.6566556917519129
0.6523753041860738,0.6309074759483337,0.6566556917519129
0.6389302015304565,0.6307353377342224,0.6566556917519129
0.6493818042683295,0.6306225061416626,0.6566556917519129
0.6362521648406982,0.630548357963562,0.6566556917519129
0.6472885182117878,0.6304993033409119,0.6566556917519129
0.6343653202056885,0.630466639995575,0.6566556917519129
0.645856643909578,0.6304448246955872,0.6566556917519129
0.6330583095550537,0.6304299235343933,0.6566556917519129
0.6448988451801319,0.6304198503494263,0.6566556917519129
0.6321672201156616,0.6304129958152771,0.6566556917519129
0.6442723656133541,0.6304081082344055,0.6566556917519129
0.6315681338310242,0.630404531955719,0.6566556917519129
0.6438715922229684,0.6304023861885071,0.6566556917519129
0.631169855594635,0.6304008960723877,0.6566556917519129
0.6436207525850275,0.6303998231887817,0.6566556917519129
0.6309074759483337,0.6303990483283997,0.6566556917519129
